isbn,Author,Category,Author_NY,Title_NY,author_gender
140132391X,THOMAS MARLO,Biography/Autobiography/Memoir,Marlo Thomas,GROWING UP LAUGHING,female
1101874996,WINSLOW DON,Suspense/Thrillers,Don Winslow,THE CARTEL,male
1439138656,HUNTER STEPHEN,Suspense/Thrillers,Stephen Hunter,DEAD ZERO,male
0399161287,TYSON MIKE,Biography/Autobiography/Memoir,Mike Tyson with Larry Sloman,UNDISPUTED TRUTH,multi
0307592812,REICH ROBERT B.,History/Law/Political Science,Robert B Reich,AFTERSHOCK,male
1455576646,DEAVER JEFFERY,Suspense/Thrillers,Jeffery Deaver,THE OCTOBER LIST,male
0385524927,DELINSKY BARBARA,Fiction General,Barbara Delinsky,WHILE MY SISTER SLEEPS,female
1439172072,MATTERA JASON,History/Law/Political Science,Jason Mattera,OBAMA ZOMBIES,male
1400043131,SALTER JAMES,Fiction General,James Salter,ALL THAT IS,male
0765332175,TAYLOR PATRICK,Suspense/Thrillers,Patrick Taylor,AN IRISH COUNTRY WEDDING,male
006124340X,LAURENS STEPHANIE,Romance,Stephanie Laurens,TEMPTATION AND SURRENDER,female
1250002966,SEBBA ANNE,Biography/Autobiography/Memoir,Anne Sebba,THAT WOMAN,female
006156284X,KASHNER SAM,Biography/Autobiography/Memoir,Sam Kashner and Nancy Schoenberger,FURIOUS LOVE,multi
1400063361,KURSON ROBERT,History/Law/Political Science,Robert Kurson,PIRATE HUNTERS,male
0307591794,WERTHEIM L. JON,Health/Fitness/Medicine/Sports,Tobias J Moskowitz and L Jon Wertheim,SCORECASTING,multi
0778328198,MACOMBER DEBBIE,Romance,Debbie Macomber,CALL ME MRS. MIRACLE,female
0061692069,FORD RICHARD,Fiction General,Richard Ford,LET ME BE FRANK WITH YOU,male
1626361398,VENTURA JESSE,History/Law/Political Science,Jesse Ventura,THEY KILLED OUR PRESIDENT,multi
0385521324,BAMFORD JAMES,History/Law/Political Science,James Bamford,THE SHADOW FACTORY,male
1416565159,HUNTER STEPHEN,Suspense/Thrillers,Stephen Hunter,"I, SNIPER",male
0399158154,DICKEY R. A.,Biography/Autobiography/Memoir,R A Dickey with Wayne Coffey,WHEREVER I WIND UP,multi
0525427910,JOHNSON CRAIG,Fiction General,Craig Johnson,WAIT FOR SIGNS,male
159240653X,PEARLMAN JEFF,Biography/Autobiography/Memoir,Jeff Pearlman,SWEETNESS,male
1400041627,HENDRICKSON PAUL,Biography/Autobiography/Memoir,Paul Hendrickson,HEMINGWAY&#39;S BOAT,male
1599951967,DEKKER TED,Suspense/Thrillers,Ted Dekker,THE BRIDE COLLECTOR,male
0374115583,HOLROYD MICHAEL,Biography/Autobiography/Memoir,Michael Holroyd,A BOOK OF SECRETS,male
0525954619,FINDER JOSEPH,Suspense/Thrillers,Joseph Finder,THE FIXER,male
125006113X,SIMON SCOTT,Biography/Autobiography/Memoir,Scott Simon,UNFORGETTABLE,male
0307269191,MURAKAMI HARUKI,Biography/Autobiography/Memoir,Haruki Murakami,WHAT I TALK ABOUT WHEN I TALK ABOUT RUNNING,multi
0374273189,GRISWOLD ELIZA,Religion/Bibles,Eliza Griswold,THE TENTH PARALLEL,female
0312583729,BROOKS ALBERT,Science Fiction,Albert Brooks,2030,male
0385521383,RUTHERFURD EDWARD,Fiction General,Edward Rutherfurd,NEW YORK,male
0425266338,ALDEN GINGER,Biography/Autobiography/Memoir,Ginger Alden,ELVIS AND GINGER,female
006182593X,ROSENBLATT ROGER,Biography/Autobiography/Memoir,Roger Rosenblatt,MAKING TOAST,male
1476716862,WALTON BILL,Biography/Autobiography/Memoir,Bill Walton,BACK FROM THE DEAD,multi
0670022950,PINKER STEVEN,Nonfiction General,Steven Pinker,THE BETTER ANGELS OF OUR NATURE,male
0061452556,LONG JEFFREY,Nonfiction General,Jeffrey Long with Paul Perry,EVIDENCE OF THE AFTERLIFE,multi
0316059544,COLLINS GAIL,History/Law/Political Science,Gail Collins,WHEN EVERYTHING CHANGED,female
1400069335,CROKE VICKI,Biography/Autobiography/Memoir,Vicki Constantine Croke,ELEPHANT COMPANY,female
0385349319,WILL GEORGE F.,Health/Fitness/Medicine/Sports,George Will,A NICE LITTLE PLACE ON THE NORTH SIDE,male
0670025925,MAX D. T.,Biography/Autobiography/Memoir,D T Max,EVERY LOVE STORY IS A GHOST STORY,unknown
0765329042,CARD ORSON SCOTT,Science Fiction,Orson Scott Card and Aaron Johnston,EARTH UNAWARE,multi
0061473413,MURCER BOBBY,Biography/Autobiography/Memoir,Bob Murcer with Glen Waggoner,YANKEE FOR LIFE,multi
0345507002,LUCENO JAMES,Science Fiction,James Luceno,MILLENNIUM FALCON,male
1451641427,BROAD WILLIAM J.,Health/Fitness/Medicine/Sports,William J Broad,THE SCIENCE OF YOGA,male
081299762X,EL-ERIAN MOHAMED A.,Business/Economics,Mohamed A El-Erian,THE ONLY GAME IN TOWN,male
1568587147,JONES VAN,History/Law/Political Science,Van Jones with Ariane Conrad,REBUILD THE DREAM,male
1400066328,TANNEN DEBORAH,Self Help,Deborah Tannen,YOU WERE ALWAYS MOM&#39;S FAVORITE,female
0312667574,PASCAL FRANCINE,Fiction General,Francine Pascal,SWEET VALLEY CONFIDENTIAL,female
0805087737,PATTERSON RICHARD NORTH,Suspense/Thrillers,Richard North Patterson,THE SPIRE,male
1451693567,HOFFMAN ALICE,Fiction General,Alice Hoffman,THE MUSEUM OF EXTRAORDINARY THINGS,female
0316328685,SLAHI MOHAMEDOU OULD,Biography/Autobiography/Memoir,"Mohamedou Ould Slahi,",GUANT́NAMO DIARY,multi
1401341799,NIELSON STEPHANIE,Biography/Autobiography/Memoir,Stephanie Nielson with Amy Ferguson,HEAVEN IS HERE,female
1594631379,RONSON JON,Nonfiction General,Jon Ronson,LOST AT SEA,unknown
0061713783,PROSE FRANCINE,Fiction General,Francine Prose,"LOVERS AT THE CHAMELEON CLUB , PARIS 1932",female
0385341962,SLAUGHTER KARIN,Suspense/Thrillers,Karin Slaughter,UNDONE,female
0765330539,CAMERON W. BRUCE,Fiction General,W Bruce Cameron,A DOG&#39;S JOURNEY,male
0525953000,CHEVALIER TRACY,Fiction General,Tracy Chevalier,AT THE EDGE OF THE ORCHARD,female
1250045428,STEINHAUER OLEN,Suspense/Thrillers,Olen Steinhauer,ALL THE OLD KNIVES,male
0618758283,HOCHSCHILD ADAM,History/Law/Political Science,Adam Hochschild,TO END ALL WARS,male
0061629758,LOWELL ELIZABETH,Romance,Elizabeth Lowell,DEATH ECHO,female
1627790837,WEINER TIM,Biography/Autobiography/Memoir,Tim Weiner,ONE MAN AGAINST THE WORLD,male
1594489963,NORRIS KATHLEEN,Biography/Autobiography/Memoir,Kathleen Norris,ACEDIA AND ME,female
0307266109,ELLIS BRET EASTON,Fiction General,Bret Easton Ellis,IMPERIAL BEDROOMS,male
1568583982,BLUMENTHAL MAX,History/Law/Political Science,Max Blumenthal,REPUBLICAN GOMORRAH,male
0062000675,LING LISA,Biography/Autobiography/Memoir,Laura Ling and Lisa Ling,SOMEWHERE INSIDE,multi
0399167641,KERR PHILIP,Suspense/Thrillers,Philip Kerr,THE LADY FROM ZAGREB,male
0062083422,LIPPMAN LAURA,Mystery/Detective,Laura Lippman,HUSH HUSH,female
0307453375,PATTERSON SCOTT,Business/Economics,Scott Patterson,THE QUANTS,male
0670025364,DEAN JOHN W.,History/Law/Political Science,John W Dean,THE NIXON DEFENSE,male
0758258577,JACKSON LISA,Suspense/Thrillers,Lisa Jackson,YOU DON&#39;T WANT TO KNOW,female
0316182311,KEAN SAM,Reference,Sam Kean,THE VIOLINIST&#39;S THUMB,male
1594202958,GHAEMI NASSIR,Nonfiction General,Nassir Ghaemi,A FIRST-RATE MADNESS,unknown
0399159207,DONALDSON STEPHEN R.,Fantasy,Stephen R Donaldson,THE LAST DARK,male
0385535988,MOSLEY WALTER,Mystery/Detective,Walter Mosley,LITTLE GREEN,multi
0385348452,PAVONE CHRISTOPHER,Suspense/Thrillers,Chris Pavone,THE ACCIDENT,male
1400067731,CAMPBELL DONOVAN,History/Law/Political Science,Donovan Campbell,JOKER ONE,male
0345510623,PERRY ANNE,Mystery/Detective,Anne Perry,DORCHESTER TERRACE,female
1439165351,SISTER SOULJAH,Fiction General,Sister Souljah,MIDNIGHT AND THE MEANING OF LOVE,female
0062065130,REAGAN RONALD,Biography/Autobiography/Memoir,Ronald Reagan,THE NOTES,male
0312367996,JOHANSEN IRIS,Suspense/Thrillers,Iris Johansen and Roy Johansen,SILENT THUNDER,multi
0307381285,TYRE PEG,Reference,Peg Tyre,THE TROUBLE WITH BOYS,female
1594204799,OLIVER MARY,Poetry,Mary Oliver,BLUE HORSES,female
1594203210,ISAY DAVE,Self Help,Dave Isay,ALL THERE IS,male
0670024872,WILLS GARRY,Religion/Bibles,Garry Wills,WHY PRIESTS?,male
0061864153,BON JOVI,Biography/Autobiography/Memoir,Bon Jovi,BON JOVI,male
0425263193,HARRIS CHARLAINE,Fantasy,Charlaine Harris,DAY SHIFT,female
0446584975,EBERT ROGER,Biography/Autobiography/Memoir,Roger Ebert,LIFE ITSELF,male
1400043042,SHAWCROSS WILLIAM,Biography/Autobiography/Memoir,William Shawcross,THE QUEEN MOTHER,male
1616203048,JOHNSTON TIM,Suspense/Thrillers,Tim Johnston,DESCENT,male
0670022756,DEUTSCH DAVID,Reference,David Deutsch,THE BEGINNING OF INFINITY,male
0307382338,SINATRA BARBARA,Biography/Autobiography/Memoir,Barbara Sinatra with Wendy Holden,LADY BLUE EYES,multi
1565129598,WILLIAMS ROY,Biography/Autobiography/Memoir,Roy Williams with Tim Crothers,HARD WORK,multi
0060899182,ALBRIGHT MADELEINE,Biography/Autobiography/Memoir,Madeleine Albright,READ MY PINS,female
1476748381,MARANISS DAVID,History/Law/Political Science,David Maraniss,ONCE IN A GREAT CITY,male
0307887863,DANZA TONY,Biography/Autobiography/Memoir,Tony Danza,I&#39;D LIKE TO APOLOGIZE TO EVERY TEACHER I EVER HAD,male
0547134665,SHADID ANTHONY,Biography/Autobiography/Memoir,Anthony Shadid,HOUSE OF STONE,male
1594203059,FERGUSON NIALL,History/Law/Political Science,Niall Ferguson,CIVILIZATION,male
0062105620,ALLENDE ISABEL,Suspense/Thrillers,Isabel Allende,MAYA&#39;S NOTEBOOK,multi
0765316994,SCALZI JOHN,Science Fiction,John Scalzi,REDSHIRTS,male
0765322722,HERBERT BRIAN,Science Fiction,Brian Herbert and Kevin J Anderson,THE WINDS OF DUNE,multi
1594202311,BRUNI FRANK,Biography/Autobiography/Memoir,Frank Bruni,BORN ROUND,male
0307596885,MUNRO ALICE,Fiction General,Alice Munro,DEAR LIFE,female
1476794707,ARNOLD JENNIFER,Biography/Autobiography/Memoir,Jennifer Arnold and Bill Klein,LIFE IS SHORT (NO PUN INTENDED),multi
0525952241,ADAMS MARK,Travel,Mark Adams,TURN RIGHT AT MACHU PICCHU,male
0399158499,WHITE RANDY WAYNE,Mystery/Detective,Randy Wayne White,GONE,male
0393088774,KRUGMAN PAUL,History/Law/Political Science,Paul Krugman,END THIS DEPRESSION NOW!,male
0312365748,BOX C. J.,Mystery/Detective,C J Box,BACK OF BEYOND,male
080509590X,MANKOFF BOB,Biography/Autobiography/Memoir,Bob Mankoff,HOW ABOUT NEVER -- IS NEVER GOOD FOR YOU?,male
0061656003,GROSS ANDREW,Suspense/Thrillers,Andrew Gross,EVERYTHING TO LOSE,male
0061143448,GROSS ANDREW,Suspense/Thrillers,Andrew Gross,DON&#39;T LOOK TWICE,male
0061930210,MARTINI STEVE,Suspense/Thrillers,Steve Martini,THE RULE OF NINE,male
0374202397,BERLIN LUCIA,Fiction General,"Lucia Berlin,",A MANUAL FOR CLEANING WOMEN,multi
159420182X,AHAMED LIAQUAT,Business/Economics,Liaquat Ahamed,LORDS OF FINANCE,male
0679456805,CANIN ETHAN,Fiction General,Ethan Canin,AMERICA AMERICA,male
0312548176,KIRKMAN ROBERT,Horror/Occult/Psychological,Robert Kirkman and Jay Bonansinga,"THE FALL OF THE GOVERNOR, PART 1",multi
1439107971,DEVERAUX JUDE,Romance,Jude Deveraux,SCARLET NIGHTS,female
0385524382,BRAFMAN ROM,Business/Economics,Rom Brafman,SWAY,multi
0061766143,RUSSELL BILL,Biography/Autobiography/Memoir,Bill Russell with Alan Steinberg,RED AND ME,multi
0670022527,FFORDE JASPER,Mystery/Detective,Jasper Fforde,ONE OF OUR THURSDAYS IS MISSING,male
1627792104,MANTEL HILARY,Fiction General,Hilary Mantel,THE ASSASSINATION OF MARGARET THATCHER,female
1101946199,BREYER STEPHEN,History/Law/Political Science,Stephen Breyer,THE COURT AND THE WORLD,male
1616203218,ZEVIN GABRIELLE,Fiction General,Gabrielle Zevin,THE STORIED LIFE OF A. J. FIKRY,female
0307588149,BAER ROBERT,History/Law/Political Science,Robert Baer and Dayna Baer,THE COMPANY WE KEEP,multi
0385540353,ATWOOD MARGARET,Science Fiction,Margaret Atwood,THE HEART GOES LAST,female
039915809X,HIGGINS JACK,Suspense/Thrillers,Jack Higgins,A DEVIL IS WAITING,male
0061998575,WENTWORTH ALI,Biography/Autobiography/Memoir,Ali Wentworth,ALI IN WONDERLAND,female
0446564508,GARRISON PAUL,Suspense/Thrillers,Paul Garrison,ROBERT LUDLUM&#39;S THE JANSON COMMAND,multi
1455554596,HEPOLA SARAH,Biography/Autobiography/Memoir,Sarah Hepola,BLACKOUT,female
0399155708,COOK ROBIN,Suspense/Thrillers,Robin Cook,INTERVENTION,male
0914671170,KNAUSGAARD KARL OVE,Fiction General,Karl Ove Knausgaard,MY STRUGGLE: BOOK FOUR,multi
0553391690,MACOMBER DEBBIE,Romance,Debbie Macomber,DASHING THROUGH THE SNOW,female
1451613512,STONE OLIVER,History/Law/Political Science,Oliver Stone and Peter Kuznick,THE UNTOLD HISTORY OF THE UNITED STATES,multi
1599951614,HAMILTON JOSH,Biography/Autobiography/Memoir,Josh Hamilton with Tim Keown,BEYOND BELIEF,multi
0316247162,DAVIES HUNTER,Performing Arts,Hunter Davies,THE BEATLES LYRICS,male
0062225065,CUMMING ALAN,Biography/Autobiography/Memoir,Alan Cumming,NOT MY FATHER&#39;S SON,male
0385341954,SLAUGHTER KARIN,Suspense/Thrillers,Karin Slaughter,FRACTURED,female
1455527114,MORTON ANDREW,History/Law/Political Science,Andrew Morton,17 CARNATIONS,male
0812992792,JOHNSON ADAM,Fiction General,Adam Johnson,THE ORPHAN MASTER&#39;S SON,male
0805094202,SHENON PHILIP,History/Law/Political Science,Philip Shenon,A CRUEL AND SHOCKING ACT,male
0316379646,HADFIELD CHRIS,Art/Architecture/Design/Photography,Chris Hadfield,YOU ARE HERE,male
0385347375,RUDDER CHRISTIAN,Nonfiction General,Christian Rudder,DATACLYSM,male
0061986836,SCHILLING SHONDA,Biography/Autobiography/Memoir,Shonda Schilling,THE BEST KIND OF DIFFERENT,multi
0451230183,ARCHULETA DAVID,Biography/Autobiography/Memoir,David Archuleta with Monica Haim,CHORDS OF STRENGTH,male
031236847X,CAIN CHELSEA,Horror/Occult/Psychological,Chelsea Cain,SWEETHEART,female
0871404389,GLASS PHILIP,Biography/Autobiography/Memoir,Philip Glass,WORDS WITHOUT MUSIC,male
0385523998,FAIRSTEIN LINDA,Suspense/Thrillers,Linda Fairstein,LETHAL LEGACY,female
1439149089,OSWALT PATTON,Biography/Autobiography/Memoir,Patton Oswalt,ZOMBIE SPACESHIP WASTELAND,male
1476793743,MATTHEWS JASON,Mystery/Detective,Jason Matthews,PALACE OF TREASON,male
0547819234,HELPRIN MARK,Fiction General,Mark Helprin,IN SUNLIGHT AND IN SHADOW,male
0374173958,KEPLER LARS,Mystery/Detective,Lars Kepler,THE HYPNOTIST,multi
006078234X,ROBERTS COKIE,Nonfiction General,Cokie Roberts,LADIES OF LIBERTY,female
1476716560,TRAISTER REBECCA,History/Law/Political Science,Rebecca Traister,ALL THE SINGLE LADIES,female
0061233781,SWANSON JAMES L.,History/Law/Political Science,James L Swanson,BLOODY CRIMES,male
0062291408,ALLENDE ISABEL,Suspense/Thrillers,Isabel Allende,RIPPER,multi
0805093699,FRANK THOMAS,History/Law/Political Science,Thomas Frank,PITY THE BILLIONAIRE,male
1439158908,HARRIS E. LYNN,Fiction General,E Lynn Harris,MAMA DEAREST,multi
0345528670,BENJAMIN MELANIE,Fiction General,Melanie Benjamin,THE AVIATOR&#39;S WIFE,female
1439156379,DEAVER JEFFERY,Suspense/Thrillers,Jeffery Deaver,XO,male
0062267558,WALKER JOHNNY,Biography/Autobiography/Memoir,"""Johnny Walker"" with Jim DeFelice",CODE NAME: JOHNNY WALKER,multi
0525950605,COBEN HARLAN,Mystery/Detective,Jeff Shaara,THE STEEL WAVE,male
1451642326,GRUNWALD MICHAEL,History/Law/Political Science,Michael Grunwald,NEW NEW DEAL,male
0316066214,FISHER ROBIN GABY,Biography/Autobiography/Memoir,Robin Ga Fisher,AFTER THE FIRE,female
0446574627,FALCO EDWARD,Fiction General,Ed Falco,THE FAMILY CORLEONE,multi
006229766X,JANCE J. A.,Mystery/Detective,J A Jance,DANCE OF THE BONES,female
0399162364,KELLERMAN JONATHAN,Suspense/Thrillers,Jonathan Kellerman and Jesse Kellerman,THE GOLEM OF HOLLYWOOD,multi
1419702203,HARRISON OLIVIA,Biography/Autobiography/Memoir,Olivia Harrison,GEORGE HARRISON,multi
1594631743,VOWELL SARAH,Biography/Autobiography/Memoir,Sarah Vowell,LAFAYETTE IN THE SOMEWHAT UNITED STATES,female
0345505336,FORD JAMIE,Fiction General,Jamie Ford,HOTEL ON THE CORNER OF BITTER AND SWEET,male
1250017645,LEAMING BARBARA,Biography/Autobiography/Memoir,Barbara Leaming,JACQUELINE BOUVIER KENNEDY ONASSIS,female
0307717720,CALABRESE FRANK JR.,Nonfiction General,"Frank Calabrese, Jr, Keith Zimmerman, Kent Zimmerman and Paul Pompian",OPERATION FAMILY SECRETS,multi
0399155058,PEARSON RIDLEY,Suspense/Thrillers,Ridley Pearson,KILLER VIEW,male
145166737X,,Fiction General,Bethenny Frankel with Eve Adamson,SKINNYDIPPING,female
1250007038,DELINSKY BARBARA,Romance,Barbara Delinsky,SWEET SALT AIR,female
031258749X,PALMER MICHAEL,Suspense/Thrillers,Michael Palmer,THE LAST SURGEON,male
0441020372,CAMPBELL JACK,Science Fiction,Jack Campbell,THE LOST FLEET. BEYOND THE FRONTIER: DREADNAUGHT,male
1599951355,BARKER BOB,Biography/Autobiography/Memoir,Bob Barker with Dig Diehl,PRICELESS MEMORIES,multi
0425234355,DAVIDSON MARYJANICE,Romance,MaryJanice Davidson,UNDEAD AND UNFINISHED,female
039915678X,DONALDSON STEPHEN R.,Fantasy,Stephen R Donaldson,AGAINST ALL THINGS ENDING,male
0061714372,MUSTAINE DAVE,Biography/Autobiography/Memoir,Dave Mustaine with Joe Layden,MUSTAINE,multi
1455599492,KORELITZ JEAN HANFF,Fiction General,Jean Hanff Korelitz,YOU SHOULD HAVE KNOWN,female
0062272853,RUMSFELD DONALD,Business/Economics,Donald Rumsfeld,RUMSFELD&#39;S RULES,male
143918948X,KOTB HODA,Biography/Autobiography/Memoir,Hoda Kotb with Jane Lorenzini,HODA,female
0525952837,ARMSTRONG KELLEY,Fantasy,Kelley Armstrong,THIRTEEN,female
0307957942,HARRIS ROBERT,Suspense/Thrillers,Robert Harris,DICTATOR,male
0765376474,SCHWAB V. E.,Fantasy,V E Schwab,A GATHERING OF SHADOWS,multi
0385501129,BENDER AIMEE,Fiction General,Aimee Bender,THE PARTICULAR SADNESS OF LEMON CAKE,female
0465014917,RAVITCH DIANE,Nonfiction General,Diane Ravitch,THE DEATH AND LIFE OF THE GREAT AMERICAN SCHOOL SYSTEM,female
0307599469,SHIPSTEAD MAGGIE,Fiction General,Maggie Shipstead,SEATING ARRANGEMENTS,female
141659857X,TETT GILLIAN,Business/Economics,Gillian Tett,FOOL&#39;S GOLD,female
1451646070,ALTER JONATHAN,History/Law/Political Science,Jonathan Alter,THE CENTER HOLDS,male
0345540700,BROOKS TERRY,Fantasy,Terry Brooks,THE HIGH DRUID&#39;S BLADE,male
0547318359,ROTH PHILIP,Fiction General,Philip Roth,NEMESIS,male
1476709157,LESCROART JOHN,Suspense/Thrillers,John Lescroart,THE OPHELIA CUT,male
0061804193,RASH RON,Fiction General,Ron Rash,THE COVE,male
0061468363,FEIST RAYMOND E.,Fantasy,Raymond E Feist,RIDES A DREAD LEGION,male
0312368488,CAIN CHELSEA,Suspense/Thrillers,Chelsea Cain,EVIL AT HEART,female
0525951784,ARMSTRONG KELLEY,Fantasy,Kelley Armstrong,WAKING THE WITCH,female
0670019070,PHILLIPS KEVIN,History/Law/Political Science,Kevin Phillips,BAD MONEY,male
0525950575,DICKEY ERIC JEROME,Romance,Eric Jerome Dickey,RESURRECTING MIDNIGHT,male
0062015680,TODD CHARLES,Mystery/Detective,Charles Todd,PROOF OF GUILT,male
1455585661,MORELL MICHAEL,Biography/Autobiography/Memoir,Michael Morell with Bill Harlow,THE GREAT WAR OF OUR TIME,multi
0765321874,WEBER DAVID,Science Fiction,David Weber,HELL&#39;S FOUNDATIONS QUIVER,male
1416550771,GOLDEN CHRISTIE,Science Fiction,Christie Golden,ARTHAS,female
039915650X,BARRY DAVE,Humor,Dave Barry,I&#39;LL MATURE WHEN I&#39;M DEAD,male
1476709181,LESCROART JOHN,Suspense/Thrillers,John Lescroart,THE KEEPER,male
0385514301,HAWKS JOHN TWELVE,Fantasy,John Twelve Hawks,THE GOLDEN CITY,male
042527067X,ANDREWS ILONA,Fantasy,Ilona Andrews,MAGIC SHIFTS,female
0312559119,STABENOW DANA,Mystery/Detective,Dana Stabenow,THOUGH NOT DEAD,female
1400068282,TRILLIN CALVIN,Humor,Calvin Trillin,DECIDING THE NEXT DECIDER,male
0061990019,BROWN DALE,Action/Adventure,Dale Brown,TIGER&#39;S CLAW,male
0805087494,EHRENREICH BARBARA,Nonfiction General,Barbara Ehrenreich,BRIGHT-SIDED,female
0805082964,BACEVICH ANDREW J.,History/Law/Political Science,Andrew J Bacevich,BREACH OF TRUST,male
1250020107,JOHANSEN IRIS,Suspense/Thrillers,Iris Johansen,SHADOW PLAY,female
0375425136,MCCALL SMITH ALEXANDER,Mystery/Detective,Alexander McCall Smith,THE COMFORTS OF A MUDDY SATURDAY,male
1250032350,BRADFORD BARBARA TAYLOR,Fiction General,Barbara Taylor Bradford,CAVENDON HALL,female
1455504416,O&#39;NEAL SHAQUILLE,Biography/Autobiography/Memoir,Shaquille O&#39;Neal with Jackie MacMullan,SHAQ UNCUT,multi
1414336063,MALARKEY KEVIN,Religion/Bibles,Kevin Malarkey and Alex Malarkey,THE BOY WHO CAME BACK FROM HEAVEN,multi
0399174338,JEWEL,Biography/Autobiography/Memoir,Jewel,NEVER BROKEN,female
0385352875,BACIGALUPI PAOLO,Suspense/Thrillers,Paolo Bacigalupi,THE WATER KNIFE,male
0767929829,MAYES FRANCES,Travel,Frances Mayes,EVERY DAY IN TUSCANY,female
160320072X,IGNATIUS ADI,Biography/Autobiography/Memoir,edited  Adi Ignatius,Time PRESIDENT OBAMA,male
0062237187,TODD CHARLES,Mystery/Detective,Charles Todd,HUNTING SHADOWS,male
1416936017,ARMSTRONG HEATHER B.,Reference,Heather Armstrong,IT SUCKED AND THEN I CRIED,female
0446546313,LEVIN LARRY,Reference,Larry Levin,OOGY,male
0525952330,SAVAGE DAN,Self Help,edited  Dan Savage and Terry Miller,IT GETS BETTER,multi
0061236217,MARGOLIN PHILLIP M.,Mystery/Detective,Phillip Margolin,EXECUTIVE PRIVILEGE,male
0060574887,FEILER BRUCE,Religion/Bibles,Bruce Feiler,AMERICA&#39;S PROPHET,male
0061876895,DORSEY TIM,Fiction General,Tim Dorsey,ELECTRIC BARRACUDA,male
0805091416,BACEVICH ANDREW J.,History/Law/Political Science,Andrew Bacevich,WASHINGTON RULES,male
0718042220,GRAHAM BILLY,Religion/Bibles,Billy Graham,WHERE I AM,male
076538308X,GOODKIND TERRY,Fantasy,Terry Goodkind,WARHEART,male
0374180652,SANDEL MICHAEL J.,Nonfiction General,Michael J Sandel,JUSTICE,male
052595256X,LESCROART JOHN,Suspense/Thrillers,John Lescroart,THE HUNTER,male
0312591829,GREEN JANE,Fiction General,Jane Green,ANOTHER PIECE OF MY HEART,female
193636574X,EGGERS DAVE,Fiction General,Dave Eggers,A HOLOGRAM FOR THE KING,male
0670026719,THAVIS JOHN,Religion/Bibles,John Thavis,THE VATICAN DIARIES,male
1451665164,QUINN SPENCER,Mystery/Detective,Spencer Quinn,A FISTFUL OF COLLARS,male
1451645759,KRUEGER WILLIAM KENT,Mystery/Detective,William Kent Krueger,TAMARACK COUNTY,male
1594202168,REICHL RUTH,Biography/Autobiography/Memoir,Ruth Reichl,NOT BECOMING MY MOTHER,female
1451649916,COLE KRESLEY,Romance,Kresley Cole,MACRIEVE,unknown
1439152780,MORTON KATE,Fiction General,Kate Morton,THE DISTANT HOURS,female
0345532740,GRAHAM LAUREN,Fiction General,Lauren Graham,"SOMEDAY, SOMEDAY, MAYBE",female
0061432717,DORSEY TIM,Mystery/Detective,Tim Dorsey,GATOR A-GO-GO,male
0399157662,WOODS STUART,Mystery/Detective,Stuart Woods,D.C. DEAD,male
0446579483,CROSS DAVID,Humor,David Cross,I DRINK FOR A REASON,male
0312303785,CRUSIE JENNIFER,Romance,Jennifer Crusie,MAYBE THIS TIME,female
0525951849,KHOURY RAYMOND,Suspense/Thrillers,Raymond Khoury,THE TEMPLAR SALVATION,male
0778325776,WIGGS SUSAN,Romance,Susan Wiggs,JUST BREATHE,female
1594201757,BROUGHTON PHILIP DELVES,Business/Economics,Philip Delves Broughton,AHEAD OF THE CURVE,male
1476724024,GRIMES MARTHA,Suspense/Thrillers,Martha Grimes,VERTIGO 42,female
159514210X,OLSEN MARY-KATE,Biography/Autobiography/Memoir,Mary-Kate Olsen and Ashley Olsen,INFLUENCE,multi
067002645X,JOHNSON CRAIG,Mystery/Detective,Craig Johnson,A SERPENT&#39;S TOOTH,male
0345523253,ABBOTT JIM,Biography/Autobiography/Memoir,Jim Abbott and Tim Brown,IMPERFECT,multi
0061118184,DAVIS KENNETH C.,History/Law/Political Science,George Soros,NEW PARADIGM FOR FINANCIAL MARKETS,male
045146527X,BISHOP ANNE,Fantasy,Anne Bishop,VISION IN SILVER,female
1401322557,METZ JULIE,Biography/Autobiography/Memoir,Julie Metz,PERFECTION,female
1439107947,DEVERAUX JUDE,Romance,Jude Deveraux,DAYS OF GOLD,female
1600781632,SOUZA PETE,Biography/Autobiography/Memoir,Pete Souza,THE RISE OF BARACK OBAMA,male
1620402807,SABATO LARRY J.,History/Law/Political Science,Larry J Sabato,THE KENNEDY HALF-CENTURY,male
0765323966,BEAR GREG,Action/Adventure,Greg Bear,HALO: CRYPTUM,male
0316373729,STEVENS JOHN PAUL,History/Law/Political Science,John Paul Stevens,SIX AMENDMENTS,male
0060884592,WINCHESTER SIMON,Biography/Autobiography/Memoir,Simon Winchester,THE MAN WHO LOVED CHINA,male
0385528078,WHITEHEAD COLSON,Horror/Occult/Psychological,Colson Whitehead,ZONE ONE,male
0446579823,BUCKLEY CHRISTOPHER,Fiction General,Christopher Buckley,SUPREME COURTSHIP,male
0307907333,MCCALL SMITH ALEXANDER,Mystery/Detective,Alexander McCall Smith,THE UNCOMMON APPEAL OF CLOUDS,male
038552384X,COHAN WILLIAM D.,Business/Economics,William D Cohan,MONEY AND POWER,male
1250020085,JOHANSEN IRIS,Suspense/Thrillers,Iris Johansen,YOUR NEXT BREATH,female
1401322859,DICKINSON AMY,Biography/Autobiography/Memoir,Amy Dickinson,THE MIGHTY QUEENS OF FREEVILLE,female
